symbol,horizon,model,feature,fit_scope,coefficient,intercept,n,pearson_ic,spearman_ic,directional_accuracy,rmse,mae
BTCUSDT,5s,order_imbalance_ols,imbalance,train_plus_validation,5.860409841786044e-06,3.81535141691914e-07,51838,0.02173713282820305,0.04240590832825714,0.5230603011682086,0.00021925787538935117,0.00013128351810218845
BTCUSDT,5s,last_5s_return_ols,ret_1,train_plus_validation,0.02155271258095115,4.9182989296358365e-09,51838,0.02263658858869156,0.044323144768109266,0.5236230220361492,0.0002192521210513406,0.00013065635830166182
BTCUSDT,5s,rolling_30s_imbalance_ols,imbalance_6,train_plus_validation,8.030423043607587e-06,5.210563339432124e-07,51838,0.002134742085608867,0.023037568705643597,0.5188736579107299,0.00021932107442810663,0.00013093172535312453
BTCUSDT,15s,order_imbalance_ols,imbalance,train_plus_validation,1.074077098196269e-05,7.015044949403067e-07,51836,0.011712212659455403,0.024465592794536528,0.5179626828038326,0.00039732887533823816,0.0002625231052652979
BTCUSDT,15s,last_5s_return_ols,ret_1,train_plus_validation,0.030572991403605452,1.129961776990148e-08,51836,0.010590637369726529,0.020095595225138835,0.5130005042864347,0.00039732874427699536,0.0002621296755683195
BTCUSDT,15s,rolling_30s_imbalance_ols,imbalance_6,train_plus_validation,1.5005598862506635e-05,9.757088316340113e-07,51836,-0.005768638679188878,0.0020978414986785794,0.5091880988401412,0.0003974107674492476,0.00026240190043469837
BTCUSDT,30s,order_imbalance_ols,imbalance,train_plus_validation,1.3308610870014539e-05,8.68070168658008e-07,51833,0.0024862276332286463,0.006050690173419912,0.5068095863298779,0.000571536155320236,0.0003873778509617132
BTCUSDT,30s,last_5s_return_ols,ret_1,train_plus_validation,0.0456665950680534,1.2801881800796418e-08,51833,0.0019730903911051225,0.0021422525339986,0.5045560541631557,0.0005715463093900643,0.0003872313559540582
BTCUSDT,30s,rolling_30s_imbalance_ols,imbalance_6,train_plus_validation,1.769576152131362e-05,1.1500348521619705e-06,51833,-0.008358840829312151,-0.007344041367418019,0.5017538359036664,0.0005715679558351308,0.00038731297083956527
ETHUSDT,5s,order_imbalance_ols,imbalance,train_plus_validation,3.859618546836157e-06,-1.8979612464687468e-07,51838,0.016163775525155435,0.02136821654859877,0.5101897250053293,0.0002921874460554004,0.00018012677219015873
ETHUSDT,5s,last_5s_return_ols,ret_1,train_plus_validation,0.0004679750207252842,-1.3881371848981546e-07,51838,0.00822778936662803,0.0342640778797635,0.504540609678107,0.00029221663265059953,0.00017993794878909213
ETHUSDT,5s,rolling_30s_imbalance_ols,imbalance_6,train_plus_validation,4.233629912875103e-06,-1.9463338015863548e-07,51838,0.005841720260695932,0.011443508178358553,0.5088467277765935,0.00029221323554736036,0.0001800111524257979
ETHUSDT,15s,order_imbalance_ols,imbalance,train_plus_validation,5.535438641813634e-06,-5.004501082991767e-07,51836,0.011175978939862654,0.013569871602193724,0.5082753989571812,0.0005275282228093923,0.0003479291220525318
ETHUSDT,15s,last_5s_return_ols,ret_1,train_plus_validation,-0.007147455890422866,-4.285042905026846e-07,51836,-0.021791043068602002,-0.015344831931758831,0.4892755569600253,0.0005276059458176526,0.0003479528989851688
ETHUSDT,15s,rolling_30s_imbalance_ols,imbalance_6,train_plus_validation,5.546564402731247e-06,-5.005026525721511e-07,51836,0.0024427268437322695,0.0008770977755579206,0.5058658555854005,0.000527555352515824,0.00034791513474270307
ETHUSDT,30s,order_imbalance_ols,imbalance,train_plus_validation,6.047830070168028e-06,-9.511776164459454e-07,51833,0.006214055343781083,0.007799491203712121,0.5047933884297521,0.000761235849828693,0.0005091239934398319
ETHUSDT,30s,last_5s_return_ols,ret_1,train_plus_validation,-0.014622358029585322,-8.736847739690554e-07,51833,0.0016840875479675298,-0.002390639676903916,0.4964316966456004,0.0007612544721102997,0.0005091573961285041
ETHUSDT,30s,rolling_30s_imbalance_ols,imbalance_6,train_plus_validation,3.725763610728369e-07,-8.76482684038647e-07,51833,-0.0011852729182316093,-0.0030945092608605875,0.4989985415653865,0.0007612497012030844,0.0005091364031262604
