symbol,horizon,regime,n,pearson_ic,spearman_ic,directional_accuracy
BTCUSDT,5s,high_vol,25919,0.014537165380854908,0.02810030341287336,0.5199866755496336
BTCUSDT,5s,low_vol,25919,0.036923645910733494,0.06745984747294789,0.5348096614570574
BTCUSDT,15s,high_vol,25918,-0.00684196593850388,0.0023933392153083224,0.5112520057923369
BTCUSDT,15s,low_vol,25918,0.023659990929483656,0.03899853854183793,0.5282634032634033
BTCUSDT,30s,high_vol,25916,-0.01469778544114857,-0.005567299452918064,0.5024607634179422
BTCUSDT,30s,low_vol,25917,0.009130909300800821,0.015177869491613793,0.5119321335130421
ETHUSDT,5s,high_vol,25919,0.0011745217112624523,0.00956196074748784,0.5026390580592773
ETHUSDT,5s,low_vol,25919,0.011415920954796885,0.01449010667710545,0.5091561938958707
ETHUSDT,15s,high_vol,25918,0.008029309938329163,0.021219749217971418,0.5079395967930256
ETHUSDT,15s,low_vol,25918,0.009225319294835062,0.011331105572377381,0.5078193920923891
ETHUSDT,30s,high_vol,25916,0.0058525323795009625,0.026436721978838694,0.5064542388649843
ETHUSDT,30s,low_vol,25917,0.00907394097535031,0.007575911095893143,0.5001170594662089
